,Title,Views,Likes,Comments,Published_Date,Month
0,How Adani Vs Reliance Vs Airtel's 5G Race shape the future of India? : 5G Business case study,422390,23377,1292,2022-10-11,Oct
1,Why is Europe facing a BANKING CRISIS like 2008? : Credit Suisse Crisis Business case study,1196657,51252,2379,2022-10-07,Oct
2,Why is UNITED KINGDOM going BANKRUPT? : UK's economic crisis Explained in simple words,2316529,72034,6801,2022-10-04,Oct
3,How US Recession will Shake the INDIAN ECONOMY? : Economic case study,1290805,50309,2323,2022-10-01,Oct
4,How did Israel become SUPER POWERFUL & What India needs to learn from it? : Geopolitical Case study,1141956,57893,3418,2022-09-27,Sep
5,How NATIONAL LOGISTICS POLICY will be a GAME CHANGER for Indian Economy? : Business case study,1714316,67672,2788,2022-09-23,Sep
6,How GST has CHANGED/ MESSED UP the Indian Economy?: Economic case study,943803,47181,2664,2022-09-20,Sep
7,Why is China taking over Indian BORDERS and what is INDIA doing? : Geopolitical case study,1546510,55341,3609,2022-09-16,Sep
8,How RAPIDO is secretly STEALING OLA and UBER's profits to break the duopoly? : Business Case study,627599,24260,793,2022-09-13,Sep
9,What Schools don’t teach you about Chhatrapati Shivaji Maharaj? : Case study,575297,34339,2708,2022-09-10,Sep
10,How JIJABAI made Chhatrapati SHIVAJI Maharaj the GREATEST KING of India? : The Untold Story,613529,48983,4087,2022-09-05,Sep
11,How America's Strategy built the GREATEST ARMY mankind has ever seen? : Geopolitical case study,1087997,35037,3371,2022-09-02,Sep
12,How Russia-China's ECONOMIC STRATEGY is CRUSHING the DOLLAR? : CURRENCY WARS Case study Ep 2,2437570,68625,5798,2022-08-30,Aug
13,How China’s SPY SHIP STRATEGY  is Killing India’s Security? : Geopolitics Casestudy,634784,26812,1489,2022-08-27,Aug
14,How TALIBAN's WAR STRATEGY defeated the US Army in Afghanistan? : Geopolitical case study,520294,33135,1902,2022-08-24,Aug
15,Why INDIA is scared about ISRAEL-PALESTINE conflict? : ISRAEL-PALESTINE EXPLAINED,1255265,49666,3485,2022-08-19,Aug
16,DECODING China's WAR STRATEGY to invade Taiwan against USA & Japanese Army?: Geopolitical Case study,800585,33977,2573,2022-08-16,Aug
17,What Schools DONT teach you about HOW Sardar Patel Unified Kashmir & Hyderabad? : Case study,770143,47621,2908,2022-08-13,Aug
18,How Zepto/Dunzo's BUSINESS STRATEGY is CRUSHING Dmart and Reliance? : Retail Business War EXPLAINED,783709,28085,1163,2022-08-09,Aug
19,How America's STRATEGY made US DOLLAR the MOST POWERFUL CURRENCY in the WORLD? : Case study,890072,38982,2555,2022-08-05,Aug
20,Why US-China are preparing for WAR over Taiwan? : Geopolitical Case study (Recap Episode),1250031,52633,3266,2022-08-02,Aug
21,How Putin's WAR STRATEGY is KILLING Europe and US? : War Strategy Case study ( Russia vs Europe),2481396,93659,8232,2022-07-29,Jul
22,What India needs to learn from the Chinese Economic Crisis? : Chinese Evergrande Crisis,1774937,66173,3385,2022-07-26,Jul
23,How ADANI's Genius CASH FLOW STRATEGY fuelled the SUPERFAST expansion of ADANI Group? : Case study,1286598,43456,2962,2022-07-23,Jul
24,How TATA motors' GENIUS STRATEGY is racing it past Hyundai & Suzuki in India? : Business Case study,1064277,39334,1918,2022-07-19,Jul
25,How RBI's STRATEGY will KILL the US DOLLAR dominance in the world economy? : Rupee Vs Dollar War,3130781,110971,6187,2022-07-15,Jul
26,Why Indian states are going BANKRUPT like SRI LANKA? :  RBI Case study EXPLAINED,1276621,54859,5495,2022-07-12,Jul
27,Why are Indian Startups Failing Miserably? : Business lessons from Indian start up Crash EXPLAINED,1021960,40578,1957,2022-07-08,Jul
28,Why BUY NOW PAY LATER Cards are facing the heat from the Regulators? : DARK side of BNPL,1106643,35537,2104,2022-07-05,Jul
29,How JAPAN's SECRET STRATEGY made it SUPER RICH even after USA's Nuclear Attack? | Lessons for India,790304,36394,2608,2022-07-01,Jul
30,How MARICO's Saffola beat ITC & Hindustan Unilever in EDIBLE OIL WAR in India?: Business Case study,472192,19024,489,2022-06-28,Jun
31,Why is OLA's BUSINESS MODEL Failing MISERABLY in India? : Business case study,1846923,47185,2724,2022-06-26,Jun
32,How AGNIPATH will Change the FORTUNES of Indian Armed Forces? : AGNIPATH SCHEME Explained,805295,50548,4514,2022-06-23,Jun
33,How USA uses the EVIL WAR strategy to Manipulate the World? : US War Business strategy exposed,1223996,69643,6009,2022-06-21,Jun
34,How UPI's Bold Business STRATEGY will KILL VISA and MASTERCARD? : UPI CREDIT LINKING EXPLAINED,861242,39771,1521,2022-06-17,Jun
35,How TATA VOLTAS' brilliant business STRATEGY made it the KING of Indian AC market? : Case study,700264,32336,1725,2022-06-14,Jun
36,Why are GIANT Edtech companies FAILING in India? : Edtech Crash Case study,1617482,57092,3389,2022-06-10,Jun
37,ADANI's Genius BUSINESS STRATEGY to become CEMENT KING of India? : Adani Ambuja Business Case Study,1624067,45695,1843,2022-06-07,Jun
38,EXPLAINED: How fall of a currency value affects a country? : Using Case study of China and Nigeria,997056,37637,2082,2022-06-03,Jun
39,How Andaman and Nicobar's Military STRATEGY is making India UNBEATABLE? : Geopolitics Case study,2017150,74704,2857,2022-05-31,May
40,How Bangladesh's Secret STRATEGY made it RICH? : Business Case Study,1235927,24266,3256,2022-05-27,May
41,"Can India's ONDC KILL Amazon, Flipkart & Zomato? : ONDC Business Case Study",1602228,56474,2510,2022-05-24,May
42,Why is India facing a power crisis despite having the 5th largest Coal reserves in the World?,500702,24717,1946,2022-05-21,May
43,How Adani got RICH after Palm Oil crisis ? : Edible Oil crisis Case study,1113869,37653,1780,2022-05-18,May
44,How India is TRAPPING China with its Military STRATEGY? : Geopolitical Case study,9862172,267025,20071,2022-05-15,May
45,How BANGLADESH became a SUPER FAST growing Asian Economy? : Bangladesh Growth case study,556051,22395,3600,2022-05-10,May
46,How DUBAI's Secret STRATEGY made it SUPER RICH & SUPER POWERFUL? : Dubai Growth case study,1130511,32729,2289,2022-05-07,May
47,How American MAFIA saved Tax worth 1 Trillion dollars? : Business Case Study,308622,13069,790,2022-05-03,May
48,Why NITIN GADKARI is pushing GREEN HYDROGEN for Indian Industries : Green Hydrogen Case study,1960619,62460,2541,2022-04-29,Apr
49,How China is TRAPPING INDIA using Pakistan & Sri Lanka? :Geopolitics Case study (China's Trade plan),1294033,51400,3264,2022-04-27,Apr
50,How was BSNL KILLED (strategically) by the Powerful people of India? : BSNL Tragedy Case Study,860207,29864,3632,2022-04-23,Apr
51,How PAKISTAN committed SUICIDE with its ECONOMY ? : Pakistani Economic Crisis case study,1260497,48904,5253,2022-04-19,Apr
52,How Tanishq HACKED the GOLD Market of India : Titan & Tanishq (A TATA Product)  Business Case Study,1195456,27253,1143,2022-04-15,Apr
53,How China SECRETLY Killed Sri Lanka ? : Understanding China's Master plan Ep 1/3 Case Study,550273,26729,3079,2022-04-12,Apr
54,TATA vs Reliance Business War: How TATA NEU App's BUSINESS MODEL will change the game for TATAS?,602431,25561,917,2022-04-08,Apr
55,Dream 11 : Exposed | Business Case Study,262858,14319,662,2022-04-05,Apr
56,How did IPL's GENIUS Business Model make it a MONEY MACHINE FOR India? : IPL Business case study,917242,26023,664,2022-04-01,Apr
57,How did the INTERNET MAFIA kill Mozilla? : Business case study Mozilla vs Microsoft/Google,442441,18297,1073,2022-03-29,Mar
58,How did TATAs build TITAN into a $31 Billion company? : Titan Watches Case Study,735366,24828,1029,2022-03-25,Mar
59,"How HAVELLS BUSINESS strategy made it a GOLDMINE stock with 70,000% returns : Case Study?",460389,15167,463,2022-03-22,Mar
60,"How did scammers game the LARGEST STOCK EXCHANGE in India to make 50,000cr? : NSE Scam Explained",740287,29744,979,2022-03-18,Mar
61,Why is the USA manipulating India & the World about Russia-Ukraine war? : Geopolitical Case Study,725712,47300,3760,2022-03-11,Mar
62,How did a Woman born in India become the CEO of PEPSICO & transformed it? : Women's Day Case Study,278436,11920,325,2022-03-08,Mar
63,How LIC's Agents Changed India FOREVER turning it into a 22 Lakh Crore Company ? : LIC Case Study,371859,13951,632,2022-03-04,Mar
64,Think School's Youtube STRATEGY to go from 0 to 1 Million subscribers | Think School Case Study,372815,20590,1428,2022-03-01,Mar
65,How ABG Shipyard pulled off the BIGGEST Banking Fraud in Indian History? : Business Case Study,877770,23384,857,2022-02-25,Feb
66,How India's MASTERSTROKE with Rupay is killing VISA and is changing India? : Business Case Study,2121792,62321,3650,2022-02-22,Feb
67,"How Pidilite's STRATEGY made it a GOLDMINE stock giving 14,000% returns? : Business Case Study",459844,15615,424,2022-02-18,Feb
68,How Mankind's GENIUS STRATEGY turned Preganews into a Market Leader?: Business Case study,213599,9134,313,2022-02-16,Feb
69,How FINTECH founders are planning to DOMINATE the Indian Bond Market? : Wint Wealth Case Study,470856,22772,793,2022-02-08,Feb
70,How Ashneer Grover's GENIUS STRATEGY turned Bharatpe into a $2.8 Billion company?,986809,37521,1553,2022-02-04,Feb
71,How HDFC's Genius strategies KILLED the Banking Monopolies in India? : Business Case study,2275384,45160,1238,2022-02-01,Feb
72,How Aman Gupta's MARKETING STRATEGY turned Boat into a 1500CR Company : Business case study,1184475,47403,1973,2022-01-28,Jan
73,Netaji Subash Chandra Bose: What Schools don't teach you about India's Real Hero!,931760,75236,4383,2022-01-21,Jan
74,How METAVERSE will CHANGE your LIFE? : Business Case Study + a Special Clip Attached,674066,23715,1157,2022-01-18,Jan
75,How iPhone is Killing Apple? What is Tim Cook's STRATEGY to fix it? : Business case study,915612,28402,765,2022-01-14,Jan
76,"How JOCKEY's STRATEGY made it a MULTIBAGGER with 14,000% returns? | Page Industries Case Study",498348,21688,539,2022-01-11,Jan
77,How Bajaj's GENIUS strategy made Bajaj Finance a GOLD MINE STOCK for investors?: Business case study,393332,12256,486,2022-01-07,Jan
78,Indian Government's MASTERPLAN to take control of the SEMICONDUCTOR CRISIS by beating China,1614197,45708,2023,2022-01-04,Jan
79,Mensa's GENIUS E-Commerce strategy that made it the fastest unicorn in Indian BUSINESS HISTORY,632211,22568,631,2021-12-31,Dec
80,"How Gaming became a $180,000,000,000 Industry? | Evolution of Gaming Part 1: Esports Case Study",290443,15233,591,2021-12-24,Dec
81,How INDIGO AIRLINES became a MONOPOLY in Indian Aviation business : Monopoly series EP 3,806719,22242,634,2021-12-21,Dec
82,How DELL KILLED the IBM MONOPOLY? : Dell vs IBM Case Study,486119,17154,419,2021-12-18,Dec
83,How India is fighting China in the Solar wars : Geopolitics Case Study,395582,16556,718,2021-12-14,Dec
84,How MAGGI's GENIUS Marketing Strategy made it a Market Leader?: Nestle Business Case Study,611584,21911,758,2021-12-10,Dec
85,How Asian Paints Built MONOPOLY in the Indian market? : Indian Monopolies EP 1,494980,20357,696,2021-12-07,Dec
86,The GREAT INDIAN SPORTS WAR : Puma vs Adidas vs Nike,664985,24362,828,2021-12-03,Dec
87,The Future of Insurance in INDIA : Shared value model (Using business case studies),211760,10844,315,2021-11-30,Nov
88,How KERALA's MARKETING STRATEGY changed Indian Tourism FOREVER? : Tourism Case Study,357527,15834,1421,2021-11-26,Nov
89,Zomato’s SECRET Plan to Become Profitable: Zomato Hyperpure Business Case Study,279752,11667,550,2021-11-19,Nov
90,Jio Mart can KILL Dmart? : The most EPIC Retail War of India (Business Case study),535991,19641,1082,2021-11-16,Nov
91,Apple is trying to KILL Facebook? : Trillion Dollar Tech war (Business case study),309866,16485,629,2021-11-12,Nov
92,How to KILL a MONOPOLY? : The fall of Gillette (Business STRATEGY Case Study),556724,25415,792,2021-11-09,Nov
93,This BUSINESS STRATEGY turned Wow Momo into a 1000Cr company? : Business strategy case study,561443,23065,992,2021-11-05,Nov
94,How did Nykaa BEAT Amazon & Flipkart in e-Commerce War?  : Business case study,586103,21758,851,2021-11-02,Nov
95,How TATA STEEL became the GREATEST Company in INDIAN History? | Business Case Study  Ep2 Tata Series,503947,20903,589,2021-10-29,Oct
96,IKEA :How to grow sales by 200% using Pricing STRATEGIES?: Business Case Study,788870,24715,783,2021-10-26,Oct
97,NIKE's Unusual Business Strategy to to Market itself & make Billions? (Business STRATEGY Case Study),232019,12546,564,2021-10-19,Oct
98,How ITC's Business STRATEGY revolutionised Indian Agriculture? : Business case study,773202,28565,1614,2021-10-15,Oct
99,Why is Mukesh Ambani's Reliance Partnering with 7-Eleven Store chain? : Business strategy case study,496772,20903,858,2021-10-12,Oct
100,How did Haldiram Build a 5000cr business empire? : Business case study,1055492,32478,1055,2021-10-09,Oct
101,How Microsoft KILLS its Competition Silently?: Business Strategy Case Study,727511,30521,1176,2021-10-05,Oct
102,How Dmart's BUSINESS STRATEGY made Radhakishan Damani the Retail King of India?: Business Case study,1174740,31888,904,2021-10-01,Oct
103,Jamsetji TATA : STRATEGY of the GREATEST BUSINESS TYCOON of India,1043828,36245,1066,2021-09-28,Sep
104,Henry Ford's Business STRATEGY made FORD a billion dollar company : Business Case study,249836,13918,609,2021-09-21,Sep
105,How did Toyota beat FORD & GM using its GENIUS Supply Chain Model?,465465,20884,851,2021-09-17,Sep
106,Google's $1 TRILLION Business STRATEGY that made it Successful: Business Case Study,367992,17327,617,2021-09-14,Sep
107,Burger King's Secret STRATEGY to compete with McDonald's: Burger Wars Ep 1,263344,15903,678,2021-09-10,Sep
108,How Reliance is planning to KILL Amazon in INDIA? : The BIGGEST BUSINESS WAR IN INDIAN HISTORY,1517697,51812,3627,2021-09-07,Sep
109,How this BUSINESS STRATEGY made Azim Premji a BILLIONAIRE? : Wipro Case Study,249673,14121,755,2021-09-04,Sep
110,How to run an Airline business profitably for 47 years & counting: Southwest Airlines CaseStudy,197596,14386,777,2021-08-31,Aug
111,Decoding ZARA's Billion Dollar Business STRATEGY : Fashion Business Case Study,1555717,57952,2434,2021-08-27,Aug
112,How Flipkart is beating Amazon using its Business STRATEGY ? : Indian Retail Wars Episode 1,677226,35945,1809,2021-08-24,Aug
113,Decoding BIG Bull's Business STRATEGY to enter Indian Aviation Market : Akasa Airlines Case study,1213509,42732,1729,2021-08-20,Aug
114,How Airtel is Beating Jio? : Business Strategy case study,2214082,85129,4962,2021-08-13,Aug
115,Complete Business Analysis of Electric Mobility Sector using the 3 Lenses of Innovation,407400,20405,1175,2021-08-10,Aug
116,Petrol Price Hike & What Indian Stock Market Investors Must Do? (Ethanol Blending Case Study Brazil),362890,23232,1486,2021-08-06,Aug
117,"How Amul beat its competition & made 39,200 Cr during Lockdown? : Business case study",1231780,53404,1691,2021-08-03,Aug
118,What made Walmart the most powerful business Empire worth $559 Billion ? : Business case study,469686,24667,773,2021-07-30,Jul
119,How Airbnb used Recession to become a 131 Billion Dollar Company?,299339,14646,490,2021-07-27,Jul
120,How to end poverty in India : Cardano Case study from Ethiopia,482776,23276,1729,2021-07-23,Jul
121,Business War: Spotify vs Apple Music vs YouTube Music,309313,17841,949,2021-07-20,Jul
122,How India can Become Rich by Adopting the Ireland Education Model?,715933,29777,1816,2021-07-16,Jul
123,How to pick the next Stock Market GOLDMINE? (includes Green Energy Case Study),365951,20692,823,2021-07-13,Jul
124,How could Zomato become Profitable? : Understanding the future of Foodtech in India,1062456,52186,3599,2021-07-09,Jul
125,How to use FEAR to boost your sales? (Ethically),198747,12441,711,2021-07-06,Jul
126,What India can Learn from Singapore? (Part 2),459056,32564,2480,2021-07-02,Jul
127,The Story Rebuilding of Singapore: Part 1,448784,25228,1161,2021-06-29,Jun
128,How India can change forever using Ethereum (Smart contracts)?,306350,23431,1361,2021-06-25,Jun
129,How did Facebook become a $850 billion company?,210144,13937,625,2021-06-22,Jun
130,Walmart vs Small Local Vendors: American Express Casestudy,126940,10337,555,2021-06-15,Jun
131,How to build Brand loyalty like Volvo?,331372,17843,924,2021-06-11,Jun
132,Will Netflix survive the competition? Business Case Study,805050,35140,1621,2021-06-08,Jun
133,How did Domino's Pizza become so successful? Business Case Study,776723,23080,574,2021-06-04,Jun
134,How did Johnnie Walker keep walking for more than 200 years? : Marketing Case Study,397603,17315,613,2021-06-01,Jun
135,How to Pitch your IDEA using a Powerful Sales Technique?,146377,10425,404,2021-05-28,May
136,How did India's MTR Foods overcome all the economic downturns in the past 97 years &make 1000Crores?,286983,14607,621,2021-05-25,May
137,Japan's Innovative Marketing Campaign is saving it from an economic crisis?,354814,25547,1033,2021-05-21,May
138,How 7 Mumbai-based women Entrepreneurs made a 1600 Cr empire from 80Rs | Lijjat Papad Case Study,986796,47611,1645,2021-05-18,May
139,"Content Marketing Lessons from Red Bull, FORD and Garyvee's book Crush it!",198545,14127,571,2021-05-14,May
140,This simple idea changed FMCG Market forever | CHIK Shampoo Case Study,401642,24711,1245,2021-05-11,May
141,Maharana Pratap's Story that is erased from Indian History | What happend after Haldighati battle?,1098472,72900,4653,2021-05-08,May
142,Learn to Speak English Fluently for FREE in the most practical way possible,578371,39319,1254,2021-05-04,May
143,"How to Handle Criticism, Hate and Disrespect?",363497,27978,1181,2021-04-30,Apr
144,Gillette's Billion Dollar Business Strategy that kept it relevant for 120 years,639524,40580,1377,2021-04-27,Apr
145,Why should I hire you? Complete framework to answer this question,140507,11923,534,2021-04-23,Apr
146,How is Zoho's Sridhar Vembu transforming Indian village economy by providing education & jobs?,390181,32854,1229,2021-04-20,Apr
147,How to Introduce yourself in an Interview without being nervous? (Most effective technique),408054,29217,480,2021-04-16,Apr
148,CRED's Genius Business Model EXPLAINED,1817713,90785,3807,2021-04-13,Apr
149,STOP making these 3 Interview Mistakes! (90% Candidates get rejected because of this),67188,5570,194,2021-04-09,Apr
150,Skyrocket your productivity using this simple Step-by-step guide to focus!,345299,28044,833,2021-04-02,Apr
151,The Genius Marketing Strategy of Marlboro Cigarettes | Business Marketing Case study,3605747,147051,4375,2021-03-30,Mar
152,How to Read effectively like a CEO? (NOT Speed Reading),930456,59103,1940,2021-03-26,Mar
153,IKEA Business Case Study: How to Earn 40 Billion$ Every Year by Selling Furniture? (IKEA Effect),757867,42862,1585,2021-03-24,Mar
154,How to earn money as a Freelancer in 2021 : A step-by-step Guide,422255,26171,681,2021-03-19,Mar
155,Zerodha Case Study: Bootstrapped to Billion dollar valuation startup without advertisements!,582934,26680,979,2021-03-13,Mar
156,How to get a game-changing startup idea? | The Art of Innovation,197004,13274,474,2021-01-18,Jan
157,Zuckerberg is watching? How to safeguard your data from Facebook?,21047,1944,173,2021-01-13,Jan
158,3 Self Help Books that changed my Life | My Book Recommendations,307610,17144,380,2021-01-10,Jan
159,How does Facebook kill its competition? Explained with examples,273529,15724,605,2021-01-09,Jan
160,How to set Goals and work consistently towards it?,171171,11436,253,2021-01-03,Jan
161,How is India's STRATEGY attracting Industries from China : Production incentive program explained,160110,8571,508,2020-12-25,Dec
162,How much motivation is good for you? (How not to overdo it and get shit done),49876,3822,152,2020-12-15,Dec
163,The story of the Spice King of India from a Tonga driver to a Millionaire,288564,10336,337,2020-12-05,Dec
164,Dhirubhai Ambani vs Bear Cartel | Stock Market Concepts EXPLAINED,640916,29153,950,2020-11-18,Nov
165,The smoothest Sales Pitch you will ever come accross: Amway Case Study,426339,17599,544,2020-11-05,Nov
166,What Steve Jobs learnt from Nike's marketing campaign that beat it's rival Adidas,1149431,52090,2050,2020-10-24,Oct
167,How Coca-Cola sold sugared water for over 100 years? | Marketing Casestudy,370670,16321,823,2020-10-11,Oct
168,What are the FARM BILLS & Why are farmers protesting? (History & Concepts Explained),447615,19060,1967,2020-10-04,Oct
169,This is how Jeff Bezos' Amazon beat their competition legitimately,202781,12208,724,2020-09-30,Sep
170,The Secret Business lessons from Amazon's Jeff Bezos,323144,8581,277,2020-09-23,Sep
171,Don't Hustle!  DO THIS instead!,64375,4860,247,2020-09-16,Sep
172,How China's most successful businessman Jack Ma's Alibaba beat the US giant eBay?,243388,12061,578,2020-09-05,Sep
173,How to never get distracted?,1113572,63591,1686,2020-08-24,Aug
174,Train your mind to never get nervous in any situation  (Practical Steps),806121,38784,813,2020-08-16,Aug
175,Think School Live Stream,0,0,0,2020-08-16,Aug
176,Can India's National Education Policy (NEP 2020) transform the Indian Education System? (EXPLAINED),101908,6719,325,2020-08-06,Aug
177,Indian Education System EXPOSED & How can we fix it? (Rant by an Engineering College Student),93062,5101,238,2020-07-28,Jul
